NM,"47,855","49,493","46,684","48,388","42,336","44,402","46,448","45,856","50,853","49,869","48,052","52,569","48,785","49,006","51,466","46,902","48,448","45,974","50,093","48,075","47,545","45,963","39,153","41,646","44,149","44,824","44,412","46,714","45,675","43,263","38,549","42,968","42,491","44,494","46,488"
NY,"62,447","62,758","60,017","56,290","52,665","56,751","51,000","55,309","56,089","57,513","57,592","58,007","58,772","59,361","58,084","57,167","57,342","58,451","58,160","59,019","56,364","54,689","55,266","52,921","52,343","53,098","53,327","55,961","57,627","60,287","57,766","54,614","53,583","51,501","49,636"
NC,"50,343","54,920","52,559","48,490","48,840","43,434","44,446","49,378","49,384","47,995","48,997","51,570","48,503","52,918","52,346","49,807","49,894","52,966","54,695","54,982","54,019","54,753","55,564","51,240","49,414","48,279","47,694","47,264","48,028","50,544","48,776","47,112","46,808","46,734","46,351"
ND,"59,886","61,478","59,406","62,944","62,347","55,745","59,649","61,562","57,469","57,351","56,645","55,946","50,027","53,089","51,021","53,990","49,463","49,678","51,382","48,207","45,677","48,369","49,117","46,610","46,402","47,103","46,300","45,573","46,085","48,291","48,131","46,731","46,052","46,198","46,806"
OH,"59,768","55,146","55,150","51,454","53,489","48,904","47,465","48,768","51,701","52,545","53,567","58,190","55,942","55,620","56,010","58,145","58,323","57,995","61,326","58,281","58,672","55,203","53,175","55,986","52,271","52,408","53,934","52,434","54,748","55,549","55,419","53,349","53,775","54,845","52,106"
OK,"55,006","52,039","48,710","48,920","48,655","46,142","51,778","52,927","48,565","52,544","52,627","51,218","47,335","47,368","51,534","47,967","49,816","49,423","46,295","48,236","50,837","47,896","42,822","42,158","44,290","43,990","43,423","44,816","44,480","45,301","47,282","44,899","44,853","46,198","47,656"
OR,"64,610","60,407","62,944","61,022","51,646","59,348","55,380","56,281","57,014","56,232","59,037","59,538","57,393","55,564","53,329","55,630","57,118","57,284","60,665","59,949","58,886","56,903","55,394","58,282","51,616","55,512","54,832","53,138","53,413","54,607","55,435","51,828","53,043","47,699","48,221"
PA,"63,173","62,290","62,483","57,185","58,135","56,866","55,518","54,516","54,436","55,172","58,666","57,406","59,082","58,258","57,378","57,361","58,069","60,373","60,204","55,726","58,808","57,315","54,468","55,318","52,617","51,922","51,320","53,449","52,910","54,916","53,425","52,627","50,975","49,841","45,848"
RI,"66,390","62,851","57,633","60,771","59,365","60,935","59,969","53,558","58,164","59,137","60,765","64,248","65,492","62,265","62,359","59,736","57,958","63,460","60,234","63,048","61,326","53,160","57,726","56,656","52,391","56,133","52,264","54,275","58,315","57,660","59,618","58,563","56,826","53,649","48,701"
SC,"54,971","55,505","47,968","46,567","45,916","46,112","47,493","43,783","46,982","47,073","48,112","52,400","48,284","50,621","50,333","51,410","51,666","52,375","53,629","53,813","50,144","52,343","54,103","46,581","48,975","43,643","47,363","48,338","52,417","45,552","51,009","51,850","47,037","43,651","45,765"
